"","fulltag_clean","grp","julian","present","grpsize","mom_in_grp","fem_sibs_in_grp","same_cohort_count","no_ewes","no_rams","no_lambs","focal_animal_age","focal_lamb_status","choice_set","year_in","animal_day","grp_day"
"1","AL","10",0,0,1,0,0,0,0,1,0,10,0,1,1985,"AL_0","10_0"
"2","AL","11",0,0,8,0,2,0,8,0,0,10,0,1,1985,"AL_0","11_0"
"3","AL","12",0,1,10,0,5,2,6,4,0,10,0,1,1985,"AL_0","12_0"
"4","AL","13",0,0,2,0,0,0,2,0,0,10,0,1,1985,"AL_0","13_0"
"5","AL","14",0,0,3,0,1,1,3,0,0,10,0,1,1985,"AL_0","14_0"
"6","AL","6",0,0,5,0,4,1,4,1,0,10,0,1,1985,"AL_0","6_0"
"7","AL","7",0,0,1,0,1,0,1,0,0,10,0,1,1985,"AL_0","7_0"
"8","AL","8",0,0,8,0,6,1,8,0,0,10,0,1,1985,"AL_0","8_0"
"9","AL","9",0,0,2,0,0,0,2,0,0,10,0,1,1985,"AL_0","9_0"
"10","AL","unobs",0,0,13,1,11,2,3,11,0,10,0,1,1985,"AL_0","unobs_0"
"11","AL","1",2,0,3,0,3,2,3,0,0,10,0,2,1985,"AL_2","1_2"
"12","AL","2",2,0,3,0,2,1,2,1,0,10,0,2,1985,"AL_2","2_2"
"13","AL","3",2,0,11,0,7,0,10,1,0,10,0,2,1985,"AL_2","3_2"
"14","AL","4",2,1,15,0,6,3,13,2,0,10,0,2,1985,"AL_2","4_2"
"15","AL","5",2,0,6,0,2,0,3,3,0,10,0,2,1985,"AL_2","5_2"
"16","AL","unobs",2,0,11,1,10,1,2,10,0,10,0,2,1985,"AL_2","unobs_2"
"17","AL","10",8,0,1,0,1,1,1,0,0,10,0,3,1985,"AL_8","10_8"
"18","AL","11",8,0,6,0,2,1,5,1,0,10,0,3,1985,"AL_8","11_8"
"19","AL","12",8,0,1,0,1,0,0,1,0,10,0,3,1985,"AL_8","12_8"
"20","AL","13",8,0,3,0,2,0,3,0,0,10,0,3,1985,"AL_8","13_8"
"21","AL","14",8,0,1,0,1,1,1,0,0,10,0,3,1985,"AL_8","14_8"
"22","AL","15",8,1,7,0,4,2,5,2,0,10,0,3,1985,"AL_8","15_8"
"23","AL","16",8,0,2,0,1,0,2,0,0,10,0,3,1985,"AL_8","16_8"
"24","AL","6",8,0,3,0,2,0,3,0,0,10,0,3,1985,"AL_8","6_8"
"25","AL","7",8,0,5,0,3,0,5,0,0,10,0,3,1985,"AL_8","7_8"
"26","AL","8",8,0,2,0,1,0,2,0,0,10,0,3,1985,"AL_8","8_8"
"27","AL","9",8,0,2,0,0,0,0,2,0,10,0,3,1985,"AL_8","9_8"
"28","AL","unobs",8,0,17,1,12,2,7,11,0,10,0,3,1985,"AL_8","unobs_8"
"29","AL","17",14,0,4,0,2,0,4,0,0,10,0,4,1985,"AL_14","17_14"
"30","AL","18",14,0,1,0,1,0,1,0,0,10,0,4,1985,"AL_14","18_14"
"31","AL","19",14,0,4,0,2,1,3,1,0,10,0,4,1985,"AL_14","19_14"
"32","AL","20",14,0,6,0,2,1,3,3,0,10,0,4,1985,"AL_14","20_14"
"33","AL","21",14,0,4,0,2,0,3,1,0,10,0,4,1985,"AL_14","21_14"
"34","AL","22",14,0,7,0,2,1,6,1,0,10,0,4,1985,"AL_14","22_14"
"35","AL","23",14,0,2,0,0,0,2,0,0,10,0,4,1985,"AL_14","23_14"
