"","fulltag_clean","grp","julian","present","grpsize","mom_in_grp","fem_sibs_in_grp","same_cohort_count","no_ewes","no_rams","no_lambs","focal_animal_age","focal_lamb_status","choice_set","year_in","animal_day","grp_day"
"1","PERKY","1",107,0,4,0,3,0,0,0,0,6,0,3,2015,"PERKY_107","1_107"
"2","PERKY","2",107,1,26,0,15,0,0,0,0,6,0,3,2015,"PERKY_107","2_107"
"3","PERKY","3",107,0,4,0,0,0,0,0,0,6,0,3,2015,"PERKY_107","3_107"
"4","PERKY","4",107,0,46,0,6,0,0,0,0,6,0,3,2015,"PERKY_107","4_107"
"5","PERKY","unobs",107,0,98,1,-19,14,32,79,0,6,0,3,2015,"PERKY_107","unobs_107"
"6","KANOB","1",107,0,4,0,0,0,0,0,0,17,NA,4,2015,"KANOB_107","1_107"
"7","KANOB","2",107,1,26,0,1,0,0,0,0,17,NA,4,2015,"KANOB_107","2_107"
"8","KANOB","3",107,0,4,0,0,0,0,0,0,17,NA,4,2015,"KANOB_107","3_107"
"9","KANOB","4",107,0,46,0,0,0,0,0,0,17,NA,4,2015,"KANOB_107","4_107"
"10","KANOB","unobs",107,0,98,1,0,0,32,79,0,17,NA,4,2015,"KANOB_107","unobs_107"
"11","SPOON","1",107,0,4,0,3,0,0,0,0,3,NA,5,2015,"SPOON_107","1_107"
"12","SPOON","2",107,1,26,0,15,0,0,0,0,3,NA,5,2015,"SPOON_107","2_107"
"13","SPOON","3",107,0,4,0,0,0,0,0,0,3,NA,5,2015,"SPOON_107","3_107"
"14","SPOON","4",107,0,46,0,5,0,0,0,0,3,NA,5,2015,"SPOON_107","4_107"
"15","SPOON","unobs",107,0,98,1,-20,19,32,79,0,3,NA,5,2015,"SPOON_107","unobs_107"
"16","GYR","1",107,0,4,0,3,0,0,0,0,3,0,6,2015,"GYR_107","1_107"
"17","GYR","2",107,1,26,0,15,0,0,0,0,3,0,6,2015,"GYR_107","2_107"
"18","GYR","3",107,0,4,0,0,0,0,0,0,3,0,6,2015,"GYR_107","3_107"
"19","GYR","4",107,0,46,1,5,0,0,0,0,3,0,6,2015,"GYR_107","4_107"
"20","GYR","unobs",107,0,98,0,-20,19,32,79,0,3,0,6,2015,"GYR_107","unobs_107"
"21","FLECK","1",107,0,4,0,3,0,0,0,0,3,0,7,2015,"FLECK_107","1_107"
"22","FLECK","2",107,1,26,1,15,0,0,0,0,3,0,7,2015,"FLECK_107","2_107"
"23","FLECK","3",107,0,4,0,0,0,0,0,0,3,0,7,2015,"FLECK_107","3_107"
"24","FLECK","4",107,0,46,0,5,0,0,0,0,3,0,7,2015,"FLECK_107","4_107"
"25","FLECK","unobs",107,0,98,0,-19,19,32,79,0,3,0,7,2015,"FLECK_107","unobs_107"
"26","POTAMUS","1",107,0,4,0,3,0,0,0,0,2,0,10,2015,"POTAMUS_107","1_107"
"27","POTAMUS","2",107,1,26,0,15,0,0,0,0,2,0,10,2015,"POTAMUS_107","2_107"
"28","POTAMUS","3",107,0,4,0,0,0,0,0,0,2,0,10,2015,"POTAMUS_107","3_107"
"29","POTAMUS","4",107,0,46,0,6,0,0,0,0,2,0,10,2015,"POTAMUS_107","4_107"
"30","POTAMUS","unobs",107,0,98,1,-20,18,32,79,0,2,0,10,2015,"POTAMUS_107","unobs_107"
"31","CLONE","1",107,0,4,0,3,0,0,0,0,8,0,11,2015,"CLONE_107","1_107"
"32","CLONE","2",107,1,26,0,16,0,0,0,0,8,0,11,2015,"CLONE_107","2_107"
"33","CLONE","3",107,0,4,0,1,0,0,0,0,8,0,11,2015,"CLONE_107","3_107"
"34","CLONE","4",107,0,46,0,7,0,0,0,0,8,0,11,2015,"CLONE_107","4_107"
"35","CLONE","unobs",107,0,98,1,-18,6,32,79,0,8,0,11,2015,"CLONE_107","unobs_107"
"36","QUARK","1",107,0,4,0,3,0,0,0,0,4,0,13,2015,"QUARK_107","1_107"
"37","QUARK","2",107,1,26,0,16,0,0,0,0,4,0,13,2015,"QUARK_107","2_107"
