"","fulltag_clean","grp","julian","present","grpsize","mom_in_grp","fem_sibs_in_grp","same_cohort_count","no_ewes","no_rams","no_lambs","focal_animal_age","focal_lamb_status","choice_set","year_in","animal_day","grp_day"
"1","PEBBLES","1",91,1,3,0,1,1,2,1,0,5,NA,1,2000,"PEBBLES_91","1_91"
"2","PEBBLES","2",91,0,1,0,0,0,0,1,0,5,NA,1,2000,"PEBBLES_91","2_91"
"3","PEBBLES","3",91,0,12,0,1,4,11,1,0,5,NA,1,2000,"PEBBLES_91","3_91"
"4","PEBBLES","unobs",91,0,28,1,1,3,12,25,0,5,NA,1,2000,"PEBBLES_91","unobs_91"
"5","OKAPI","1",91,1,3,0,1,1,2,1,0,4,0,2,2000,"OKAPI_91","1_91"
"6","OKAPI","2",91,0,1,0,0,0,0,1,0,4,0,2,2000,"OKAPI_91","2_91"
"7","OKAPI","3",91,0,12,0,1,2,11,1,0,4,0,2,2000,"OKAPI_91","3_91"
"8","OKAPI","unobs",91,0,28,1,0,4,12,25,0,4,0,2,2000,"OKAPI_91","unobs_91"
"9","FREDDY","1",91,1,3,0,1,1,2,1,0,1,NA,3,2000,"FREDDY_91","1_91"
"10","FREDDY","2",91,0,1,0,0,0,0,1,0,1,NA,3,2000,"FREDDY_91","2_91"
"11","FREDDY","3",91,0,12,1,0,0,11,1,0,1,NA,3,2000,"FREDDY_91","3_91"
"12","FREDDY","unobs",91,0,28,0,1,1,12,25,0,1,NA,3,2000,"FREDDY_91","unobs_91"
"13","TRISKEY","1",91,0,3,0,0,0,2,1,0,9,NA,4,2000,"TRISKEY_91","1_91"
"14","TRISKEY","2",91,1,1,0,1,1,0,1,0,9,NA,4,2000,"TRISKEY_91","2_91"
"15","TRISKEY","3",91,0,12,1,0,0,11,1,0,9,NA,4,2000,"TRISKEY_91","3_91"
"16","TRISKEY","unobs",91,0,28,0,3,2,12,25,0,9,NA,4,2000,"TRISKEY_91","unobs_91"
"17","BARLEY","1",91,0,3,0,0,0,2,1,0,2,NA,5,2000,"BARLEY_91","1_91"
"18","BARLEY","2",91,0,1,0,0,0,0,1,0,2,NA,5,2000,"BARLEY_91","2_91"
"19","BARLEY","3",91,1,12,0,1,1,11,1,0,2,NA,5,2000,"BARLEY_91","3_91"
"20","BARLEY","unobs",91,0,28,1,3,3,12,25,0,2,NA,5,2000,"BARLEY_91","unobs_91"
"21","SUNUP","1",91,0,3,0,0,0,2,1,0,8,0,6,2000,"SUNUP_91","1_91"
"22","SUNUP","2",91,0,1,0,0,0,0,1,0,8,0,6,2000,"SUNUP_91","2_91"
"23","SUNUP","3",91,1,12,0,3,2,11,1,0,8,0,6,2000,"SUNUP_91","3_91"
"24","SUNUP","unobs",91,0,28,1,3,2,12,25,0,8,0,6,2000,"SUNUP_91","unobs_91"
"25","PUCKER","1",91,0,3,0,0,0,2,1,0,12,0,7,2000,"PUCKER_91","1_91"
"26","PUCKER","2",91,0,1,0,0,0,0,1,0,12,0,7,2000,"PUCKER_91","2_91"
"27","PUCKER","3",91,1,12,0,1,1,11,1,0,12,0,7,2000,"PUCKER_91","3_91"
"28","PUCKER","unobs",91,0,28,1,0,0,12,25,0,12,0,7,2000,"PUCKER_91","unobs_91"
"29","PIP","1",91,0,3,0,0,1,2,1,0,4,NA,8,2000,"PIP_91","1_91"
"30","PIP","2",91,0,1,0,0,0,0,1,0,4,NA,8,2000,"PIP_91","2_91"
"31","PIP","3",91,1,12,0,3,2,11,1,0,4,NA,8,2000,"PIP_91","3_91"
"32","PIP","unobs",91,0,28,1,1,4,12,25,0,4,NA,8,2000,"PIP_91","unobs_91"
"33","PALOUSE","1",91,0,3,0,0,1,2,1,0,5,0,9,2000,"PALOUSE_91","1_91"
"34","PALOUSE","2",91,0,1,0,0,0,0,1,0,5,0,9,2000,"PALOUSE_91","2_91"
"35","PALOUSE","3",91,1,12,0,1,4,11,1,0,5,0,9,2000,"PALOUSE_91","3_91"
"36","PALOUSE","unobs",91,0,28,1,0,3,12,25,0,5,0,9,2000,"PALOUSE_91","unobs_91"
"37","MELON","1",91,0,3,0,1,1,2,1,0,5,0,10,2000,"MELON_91","1_91"
"38","MELON","2",91,0,1,0,0,0,0,1,0,5,0,10,2000,"MELON_91","2_91"
"39","MELON","3",91,1,12,0,1,4,11,1,0,5,0,10,2000,"MELON_91","3_91"
"40","MELON","unobs",91,0,28,1,0,3,12,25,0,5,0,10,2000,"MELON_91","unobs_91"
"41","REED","1",91,0,3,0,0,0,2,1,0,3,0,11,2000,"REED_91","1_91"
"42","REED","2",91,0,1,0,0,0,0,1,0,3,0,11,2000,"REED_91","2_91"
"43","REED","3",91,1,12,0,3,1,11,1,0,3,0,11,2000,"REED_91","3_91"
"44","REED","unobs",91,0,28,1,1,5,12,25,0,3,0,11,2000,"REED_91","unobs_91"
"45","PHOENIX","1",91,0,3,0,0,1,2,1,0,5,0,12,2000,"PHOENIX_91","1_91"
"46","PHOENIX","2",91,0,1,0,0,0,0,1,0,5,0,12,2000,"PHOENIX_91","2_91"
"47","PHOENIX","3",91,1,12,0,3,4,11,1,0,5,0,12,2000,"PHOENIX_91","3_91"
"48","PHOENIX","unobs",91,0,28,1,1,3,12,25,0,5,0,12,2000,"PHOENIX_91","unobs_91"
"49","ELLY","1",91,0,3,0,0,0,2,1,0,7,0,13,2000,"ELLY_91","1_91"
"50","ELLY","2",91,0,1,0,0,0,0,1,0,7,0,13,2000,"ELLY_91","2_91"
"51","ELLY","3",91,1,12,0,3,1,11,1,0,7,0,13,2000,"ELLY_91","3_91"
"52","ELLY","unobs",91,0,28,1,3,4,12,25,0,7,0,13,2000,"ELLY_91","unobs_91"
"53","MONTANA","1",91,0,3,0,0,0,2,1,0,8,0,14,2000,"MONTANA_91","1_91"
"54","MONTANA","2",91,0,1,0,0,0,0,1,0,8,0,14,2000,"MONTANA_91","2_91"
"55","MONTANA","3",91,1,12,0,3,2,11,1,0,8,0,14,2000,"MONTANA_91","3_91"
"56","MONTANA","unobs",91,0,28,1,3,2,12,25,0,8,0,14,2000,"MONTANA_91","unobs_91"
"57","GERENUK","1",91,0,3,0,0,1,2,1,0,5,0,15,2000,"GERENUK_91","1_91"
"58","GERENUK","2",91,0,1,0,0,0,0,1,0,5,0,15,2000,"GERENUK_91","2_91"
"59","GERENUK","3",91,1,12,0,1,4,11,1,0,5,0,15,2000,"GERENUK_91","3_91"
"60","GERENUK","unobs",91,0,28,1,0,3,12,25,0,5,0,15,2000,"GERENUK_91","unobs_91"
"61","PASQUE","1",91,0,3,0,1,1,2,1,0,4,NA,16,2000,"PASQUE_91","1_91"
"62","PASQUE","2",91,0,1,0,0,0,0,1,0,4,NA,16,2000,"PASQUE_91","2_91"
"63","PASQUE","3",91,1,12,0,1,2,11,1,0,4,NA,16,2000,"PASQUE_91","3_91"
"64","PASQUE","unobs",91,0,28,1,1,4,12,25,0,4,NA,16,2000,"PASQUE_91","unobs_91"
"65","PUCKER","10",109,0,4,0,0,0,0,4,0,12,0,17,2000,"PUCKER_109","10_109"
"66","PUCKER","5",109,1,8,0,1,1,8,0,0,12,0,17,2000,"PUCKER_109","5_109"
"67","PUCKER","6",109,0,3,0,0,0,3,0,0,12,0,17,2000,"PUCKER_109","6_109"
"68","PUCKER","7",109,0,7,0,0,0,5,2,0,12,0,17,2000,"PUCKER_109","7_109"
"69","PUCKER","8",109,0,12,0,0,0,0,12,0,12,0,17,2000,"PUCKER_109","8_109"
"70","PUCKER","9",109,0,1,0,0,0,0,1,0,12,0,17,2000,"PUCKER_109","9_109"
"71","PUCKER","unobs",109,0,9,1,0,0,9,9,0,12,0,17,2000,"PUCKER_109","unobs_109"
"72","CATFISH","10",109,0,4,0,0,0,0,4,0,2,NA,18,2000,"CATFISH_109","10_109"
"73","CATFISH","5",109,1,8,0,3,2,8,0,0,2,NA,18,2000,"CATFISH_109","5_109"
"74","CATFISH","6",109,0,3,0,1,0,3,0,0,2,NA,18,2000,"CATFISH_109","6_109"
"75","CATFISH","7",109,0,7,0,0,1,5,2,0,2,NA,18,2000,"CATFISH_109","7_109"
"76","CATFISH","8",109,0,12,0,0,0,0,12,0,2,NA,18,2000,"CATFISH_109","8_109"
"77","CATFISH","9",109,0,1,0,0,0,0,1,0,2,NA,18,2000,"CATFISH_109","9_109"
"78","CATFISH","unobs",109,0,9,1,0,1,9,9,0,2,NA,18,2000,"CATFISH_109","unobs_109"
"79","PIP","10",109,0,4,0,0,1,0,4,0,4,NA,19,2000,"PIP_109","10_109"
"80","PIP","5",109,1,8,0,3,2,8,0,0,4,NA,19,2000,"PIP_109","5_109"
"81","PIP","6",109,0,3,0,1,0,3,0,0,4,NA,19,2000,"PIP_109","6_109"
"82","PIP","7",109,0,7,0,0,1,5,2,0,4,NA,19,2000,"PIP_109","7_109"
"83","PIP","8",109,0,12,0,0,3,0,12,0,4,NA,19,2000,"PIP_109","8_109"
"84","PIP","9",109,0,1,0,0,0,0,1,0,4,NA,19,2000,"PIP_109","9_109"
"85","PIP","unobs",109,0,9,1,0,0,9,9,0,4,NA,19,2000,"PIP_109","unobs_109"
"86","GERENUK","10",109,0,4,0,0,0,0,4,0,5,0,20,2000,"GERENUK_109","10_109"
"87","GERENUK","5",109,1,8,0,1,1,8,0,0,5,0,20,2000,"GERENUK_109","5_109"
"88","GERENUK","6",109,0,3,0,0,3,3,0,0,5,0,20,2000,"GERENUK_109","6_109"
"89","GERENUK","7",109,0,7,0,0,2,5,2,0,5,0,20,2000,"GERENUK_109","7_109"
"90","GERENUK","8",109,0,12,0,0,1,0,12,0,5,0,20,2000,"GERENUK_109","8_109"
"91","GERENUK","9",109,0,1,0,0,0,0,1,0,5,0,20,2000,"GERENUK_109","9_109"
"92","GERENUK","unobs",109,0,9,1,0,1,9,9,0,5,0,20,2000,"GERENUK_109","unobs_109"
"93","RING","10",109,0,4,0,0,0,0,4,0,2,0,21,2000,"RING_109","10_109"
"94","RING","5",109,1,8,0,1,2,8,0,0,2,0,21,2000,"RING_109","5_109"
"95","RING","6",109,0,3,0,0,0,3,0,0,2,0,21,2000,"RING_109","6_109"
"96","RING","7",109,0,7,1,0,1,5,2,0,2,0,21,2000,"RING_109","7_109"
"97","RING","8",109,0,12,0,1,0,0,12,0,2,0,21,2000,"RING_109","8_109"
"98","RING","9",109,0,1,0,0,0,0,1,0,2,0,21,2000,"RING_109","9_109"
"99","RING","unobs",109,0,9,0,1,1,9,9,0,2,0,21,2000,"RING_109","unobs_109"
"100","MONTANA","10",109,0,4,0,0,1,0,4,0,8,0,22,2000,"MONTANA_109","10_109"
"101","MONTANA","5",109,1,8,0,1,1,8,0,0,8,0,22,2000,"MONTANA_109","5_109"
"102","MONTANA","6",109,0,3,0,0,0,3,0,0,8,0,22,2000,"MONTANA_109","6_109"
"103","MONTANA","7",109,0,7,0,2,0,5,2,0,8,0,22,2000,"MONTANA_109","7_109"
"104","MONTANA","8",109,0,12,0,0,1,0,12,0,8,0,22,2000,"MONTANA_109","8_109"
"105","MONTANA","9",109,0,1,0,0,0,0,1,0,8,0,22,2000,"MONTANA_109","9_109"
"106","MONTANA","unobs",109,0,9,1,3,1,9,9,0,8,0,22,2000,"MONTANA_109","unobs_109"
"107","REED","10",109,0,4,0,0,0,0,4,0,3,0,23,2000,"REED_109","10_109"
"108","REED","5",109,1,8,0,3,1,8,0,0,3,0,23,2000,"REED_109","5_109"
"109","REED","6",109,0,3,0,1,0,3,0,0,3,0,23,2000,"REED_109","6_109"
"110","REED","7",109,0,7,0,0,1,5,2,0,3,0,23,2000,"REED_109","7_109"
"111","REED","8",109,0,12,0,0,3,0,12,0,3,0,23,2000,"REED_109","8_109"
"112","REED","9",109,0,1,0,0,0,0,1,0,3,0,23,2000,"REED_109","9_109"
"113","REED","unobs",109,0,9,1,0,1,9,9,0,3,0,23,2000,"REED_109","unobs_109"
"114","PASQUE","10",109,0,4,0,0,1,0,4,0,4,NA,24,2000,"PASQUE_109","10_109"
"115","PASQUE","5",109,1,8,0,1,2,8,0,0,4,NA,24,2000,"PASQUE_109","5_109"
"116","PASQUE","6",109,0,3,0,1,0,3,0,0,4,NA,24,2000,"PASQUE_109","6_109"
"117","PASQUE","7",109,0,7,0,0,1,5,2,0,4,NA,24,2000,"PASQUE_109","7_109"
"118","PASQUE","8",109,0,12,0,1,3,0,12,0,4,NA,24,2000,"PASQUE_109","8_109"
"119","PASQUE","9",109,0,1,0,0,0,0,1,0,4,NA,24,2000,"PASQUE_109","9_109"
"120","PASQUE","unobs",109,0,9,1,0,0,9,9,0,4,NA,24,2000,"PASQUE_109","unobs_109"
