"","fulltag_clean","grp","julian","present","grpsize","mom_in_grp","fem_sibs_in_grp","same_cohort_count","no_ewes","no_rams","no_lambs","focal_animal_age","focal_lamb_status","choice_set","year_in","animal_day","grp_day"
"1","CHIP","1",79,1,4,0,3,1,3,0,0,8,NA,2,1980,"CHIP_79","1_79"
"2","CHIP","2",79,0,1,0,1,0,1,0,0,8,NA,2,1980,"CHIP_79","2_79"
"3","CHIP","3",79,0,4,0,4,0,4,0,0,8,NA,2,1980,"CHIP_79","3_79"
"4","CHIP","4",79,0,2,0,2,0,2,0,0,8,NA,2,1980,"CHIP_79","4_79"
"5","CHIP","unobs",79,0,38,1,40,5,21,27,0,8,NA,2,1980,"CHIP_79","unobs_79"
"6","DOUBLE BAND","1",79,1,4,0,3,1,3,0,0,4,NA,3,1980,"DOUBLE BAND_79","1_79"
"7","DOUBLE BAND","2",79,0,1,0,1,0,1,0,0,4,NA,3,1980,"DOUBLE BAND_79","2_79"
"8","DOUBLE BAND","3",79,0,4,0,4,0,4,0,0,4,NA,3,1980,"DOUBLE BAND_79","3_79"
"9","DOUBLE BAND","4",79,0,2,0,2,1,2,0,0,4,NA,3,1980,"DOUBLE BAND_79","4_79"
"10","DOUBLE BAND","unobs",79,0,38,1,40,5,21,27,0,4,NA,3,1980,"DOUBLE BAND_79","unobs_79"
"11","AL","1",79,1,4,0,3,1,3,0,0,5,NA,4,1980,"AL_79","1_79"
"12","AL","2",79,0,1,0,1,0,1,0,0,5,NA,4,1980,"AL_79","2_79"
"13","AL","3",79,0,4,0,4,2,4,0,0,5,NA,4,1980,"AL_79","3_79"
"14","AL","4",79,0,2,0,2,0,2,0,0,5,NA,4,1980,"AL_79","4_79"
"15","AL","unobs",79,0,38,1,40,5,21,27,0,5,NA,4,1980,"AL_79","unobs_79"
"16","STUBBLE","1",79,0,4,0,3,0,3,0,0,NA,NA,5,1980,"STUBBLE_79","1_79"
"17","STUBBLE","2",79,1,1,0,1,0,1,0,0,NA,NA,5,1980,"STUBBLE_79","2_79"
"18","STUBBLE","3",79,0,4,0,4,0,4,0,0,NA,NA,5,1980,"STUBBLE_79","3_79"
"19","STUBBLE","4",79,0,2,0,2,0,2,0,0,NA,NA,5,1980,"STUBBLE_79","4_79"
"20","STUBBLE","unobs",79,0,38,1,40,0,21,27,0,NA,NA,5,1980,"STUBBLE_79","unobs_79"
"21","OH","1",79,0,4,0,3,1,3,0,0,5,NA,6,1980,"OH_79","1_79"
"22","OH","2",79,0,1,0,1,0,1,0,0,5,NA,6,1980,"OH_79","2_79"
"23","OH","3",79,1,4,0,4,2,4,0,0,5,NA,6,1980,"OH_79","3_79"
"24","OH","4",79,0,2,0,2,0,2,0,0,5,NA,6,1980,"OH_79","4_79"
"25","OH","unobs",79,0,38,1,40,5,21,27,0,5,NA,6,1980,"OH_79","unobs_79"
"26","MANY","1",79,0,4,0,3,0,3,0,0,6,NA,7,1980,"MANY_79","1_79"
"27","MANY","2",79,0,1,0,1,0,1,0,0,6,NA,7,1980,"MANY_79","2_79"
"28","MANY","3",79,1,4,0,4,1,4,0,0,6,NA,7,1980,"MANY_79","3_79"
"29","MANY","4",79,0,2,0,2,0,2,0,0,6,NA,7,1980,"MANY_79","4_79"
"30","MANY","unobs",79,0,38,1,40,4,21,27,0,6,NA,7,1980,"MANY_79","unobs_79"
"31","LEFT BLOTCH","1",79,0,4,0,3,0,3,0,0,3,NA,8,1980,"LEFT BLOTCH_79","1_79"
"32","LEFT BLOTCH","2",79,0,1,0,1,0,1,0,0,3,NA,8,1980,"LEFT BLOTCH_79","2_79"
"33","LEFT BLOTCH","3",79,1,4,0,4,1,4,0,0,3,NA,8,1980,"LEFT BLOTCH_79","3_79"
"34","LEFT BLOTCH","4",79,0,2,0,2,1,2,0,0,3,NA,8,1980,"LEFT BLOTCH_79","4_79"
"35","LEFT BLOTCH","unobs",79,0,38,1,40,5,21,27,0,3,NA,8,1980,"LEFT BLOTCH_79","unobs_79"
"36","LYRE","1",79,0,4,0,3,1,3,0,0,5,NA,9,1980,"LYRE_79","1_79"
"37","LYRE","2",79,0,1,0,1,0,1,0,0,5,NA,9,1980,"LYRE_79","2_79"
"38","LYRE","3",79,1,4,0,4,2,4,0,0,5,NA,9,1980,"LYRE_79","3_79"
"39","LYRE","4",79,0,2,0,2,0,2,0,0,5,NA,9,1980,"LYRE_79","4_79"
"40","LYRE","unobs",79,0,38,1,40,5,21,27,0,5,NA,9,1980,"LYRE_79","unobs_79"
"41","ANGLE","1",79,0,4,0,3,1,3,0,0,4,NA,10,1980,"ANGLE_79","1_79"
"42","ANGLE","2",79,0,1,0,1,0,1,0,0,4,NA,10,1980,"ANGLE_79","2_79"
"43","ANGLE","3",79,0,4,0,4,0,4,0,0,4,NA,10,1980,"ANGLE_79","3_79"
"44","ANGLE","4",79,1,2,0,2,1,2,0,0,4,NA,10,1980,"ANGLE_79","4_79"
"45","ANGLE","unobs",79,0,38,1,40,5,21,27,0,4,NA,10,1980,"ANGLE_79","unobs_79"
"46","SLASH","1",79,0,4,0,3,0,3,0,0,3,NA,11,1980,"SLASH_79","1_79"
"47","SLASH","2",79,0,1,0,1,0,1,0,0,3,NA,11,1980,"SLASH_79","2_79"
"48","SLASH","3",79,0,4,0,4,1,4,0,0,3,NA,11,1980,"SLASH_79","3_79"
"49","SLASH","4",79,1,2,0,2,1,2,0,0,3,NA,11,1980,"SLASH_79","4_79"
"50","SLASH","unobs",79,0,38,1,40,5,21,27,0,3,NA,11,1980,"SLASH_79","unobs_79"
"51","CHIP","5",81,1,3,0,3,2,3,0,0,8,NA,12,1980,"CHIP_81","5_81"
"52","CHIP","6",81,0,6,0,4,2,0,4,0,8,NA,12,1980,"CHIP_81","6_81"
"53","CHIP","7",81,0,1,0,0,0,0,0,0,8,NA,12,1980,"CHIP_81","7_81"
"54","CHIP","unobs",81,0,41,1,43,2,28,23,0,8,NA,12,1980,"CHIP_81","unobs_81"
"55","DELICATE","5",81,1,3,0,3,1,3,0,0,4,NA,13,1980,"DELICATE_81","5_81"
"56","DELICATE","6",81,0,6,0,4,0,0,4,0,4,NA,13,1980,"DELICATE_81","6_81"
"57","DELICATE","7",81,0,1,0,0,0,0,0,0,4,NA,13,1980,"DELICATE_81","7_81"
