"","fulltag_clean","grp","julian","present","grpsize","mom_in_grp","fem_sibs_in_grp","same_cohort_count","no_ewes","no_rams","no_lambs","focal_animal_age","focal_lamb_status","choice_set","year_in","animal_day","grp_day"
"1","PECCARY","1",38,1,29,0,3,4,20,6,2,2,0,1,2009,"PECCARY_38","1_38"
"2","PECCARY","unobs",38,0,61,1,3,11,44,40,0,2,0,1,2009,"PECCARY_38","unobs_38"
"3","HARMONICA","1",38,1,29,1,2,4,20,6,2,2,0,2,2009,"HARMONICA_38","1_38"
"4","HARMONICA","unobs",38,0,61,0,1,11,44,40,0,2,0,2,2009,"HARMONICA_38","unobs_38"
"5","SIS","1",38,1,29,0,1,1,20,6,2,7,0,3,2009,"SIS_38","1_38"
"6","SIS","unobs",38,0,61,1,1,8,44,40,0,7,0,3,2009,"SIS_38","unobs_38"
"7","PHOENIX","1",38,1,29,0,2,2,20,6,2,14,NA,5,2009,"PHOENIX_38","1_38"
"8","PHOENIX","unobs",38,0,61,1,1,2,44,40,0,14,NA,5,2009,"PHOENIX_38","unobs_38"
"9","BLADE","1",38,1,29,0,4,4,20,6,2,2,0,6,2009,"BLADE_38","1_38"
"10","BLADE","unobs",38,0,61,1,-2,11,44,40,0,2,0,6,2009,"BLADE_38","unobs_38"
"11","ICHABOD","1",38,1,29,0,1,2,20,6,2,8,0,7,2009,"ICHABOD_38","1_38"
"12","ICHABOD","unobs",38,0,61,1,1,6,44,40,0,8,0,7,2009,"ICHABOD_38","unobs_38"
"13","TURNIP","1",38,1,29,0,2,1,20,6,2,5,0,8,2009,"TURNIP_38","1_38"
"14","TURNIP","unobs",38,0,61,1,2,5,44,40,0,5,0,8,2009,"TURNIP_38","unobs_38"
"15","REED","1",38,1,29,0,2,2,20,6,2,12,0,9,2009,"REED_38","1_38"
"16","REED","unobs",38,0,61,1,1,0,44,40,0,12,0,9,2009,"REED_38","unobs_38"
"17","MOUND","1",38,1,29,0,6,4,20,6,2,2,0,10,2009,"MOUND_38","1_38"
"18","MOUND","unobs",38,0,61,1,1,11,44,40,0,2,0,10,2009,"MOUND_38","unobs_38"
"19","BEAN","1",38,1,29,0,4,3,20,6,2,3,NA,11,2009,"BEAN_38","1_38"
"20","BEAN","unobs",38,0,61,1,-1,0,44,40,0,3,NA,11,2009,"BEAN_38","unobs_38"
"21","SILK","1",38,1,29,0,3,2,20,6,2,8,0,12,2009,"SILK_38","1_38"
"22","SILK","unobs",38,0,61,1,3,6,44,40,0,8,0,12,2009,"SILK_38","unobs_38"
"23","WINTER","1",38,1,29,0,6,3,20,6,2,3,NA,13,2009,"WINTER_38","1_38"
"24","WINTER","unobs",38,0,61,1,1,0,44,40,0,3,NA,13,2009,"WINTER_38","unobs_38"
"25","BULL DURHAM","1",38,1,29,0,1,2,20,6,2,14,NA,14,2009,"BULL DURHAM_38","1_38"
"26","BULL DURHAM","unobs",38,0,61,1,1,2,44,40,0,14,NA,14,2009,"BULL DURHAM_38","unobs_38"
"27","VULCAN","1",38,1,29,0,1,2,20,6,2,12,NA,15,2009,"VULCAN_38","1_38"
"28","VULCAN","unobs",38,0,61,1,3,0,44,40,0,12,NA,15,2009,"VULCAN_38","unobs_38"
"29","STOUT","1",38,1,29,0,3,3,20,6,2,3,NA,16,2009,"STOUT_38","1_38"
"30","STOUT","unobs",38,0,61,1,3,0,44,40,0,3,NA,16,2009,"STOUT_38","unobs_38"
"31","BLOKE","1",38,1,29,0,1,11,20,6,2,1,NA,17,2009,"BLOKE_38","1_38"
"32","BLOKE","unobs",38,0,61,1,1,7,44,40,0,1,NA,17,2009,"BLOKE_38","unobs_38"
"33","HAMMER","1",38,1,29,0,1,11,20,6,2,1,NA,18,2009,"HAMMER_38","1_38"
"34","HAMMER","unobs",38,0,61,1,1,7,44,40,0,1,NA,18,2009,"HAMMER_38","unobs_38"
"35","CROSS","1",38,1,29,0,1,11,20,6,2,1,NA,19,2009,"CROSS_38","1_38"
"36","CROSS","unobs",38,0,61,1,4,7,44,40,0,1,NA,19,2009,"CROSS_38","unobs_38"
"37","HIPPO","1",38,1,29,0,4,11,20,6,2,1,NA,20,2009,"HIPPO_38","1_38"
"38","HIPPO","unobs",38,0,61,1,0,7,44,40,0,1,NA,20,2009,"HIPPO_38","unobs_38"
"39","PINCH","1",38,1,29,0,1,11,20,6,2,1,NA,21,2009,"PINCH_38","1_38"
"40","PINCH","unobs",38,0,61,1,1,7,44,40,0,1,NA,21,2009,"PINCH_38","unobs_38"
"41","GOLDY","1",38,1,29,1,1,11,20,6,2,1,NA,22,2009,"GOLDY_38","1_38"
"42","GOLDY","unobs",38,0,61,0,3,7,44,40,0,1,NA,22,2009,"GOLDY_38","unobs_38"
"43","LIP","1",38,1,29,1,2,11,20,6,2,1,NA,23,2009,"LIP_38","1_38"
"44","LIP","unobs",38,0,61,0,1,7,44,40,0,1,NA,23,2009,"LIP_38","unobs_38"
"45","JUANITA","1",38,1,29,1,1,11,20,6,2,1,NA,24,2009,"JUANITA_38","1_38"
"46","JUANITA","unobs",38,0,61,0,2,7,44,40,0,1,NA,24,2009,"JUANITA_38","unobs_38"
"47","WAIF","1",38,1,29,0,6,11,20,6,2,1,NA,25,2009,"WAIF_38","1_38"
"48","WAIF","unobs",38,0,61,1,1,7,44,40,0,1,NA,25,2009,"WAIF_38","unobs_38"
"49","SPOCK","1",38,1,29,0,1,11,20,6,2,1,NA,26,2009,"SPOCK_38","1_38"
"50","SPOCK","unobs",38,0,61,1,1,7,44,40,0,1,NA,26,2009,"SPOCK_38","unobs_38"
"51","LOON","1",38,1,29,0,2,11,20,6,2,1,NA,27,2009,"LOON_38","1_38"
"52","LOON","unobs",38,0,61,1,2,7,44,40,0,1,NA,27,2009,"LOON_38","unobs_38"
"53","URN","2",45,1,13,1,2,3,11,2,0,5,0,30,2009,"URN_45","2_45"
"54","URN","3",45,0,1,0,0,0,1,0,0,5,0,30,2009,"URN_45","3_45"
"55","URN","4",45,0,4,0,0,0,3,1,0,5,0,30,2009,"URN_45","4_45"
"56","URN","5",45,0,11,0,0,1,9,2,0,5,0,30,2009,"URN_45","5_45"
"57","URN","6",45,0,6,0,1,1,4,2,0,5,0,30,2009,"URN_45","6_45"
"58","URN","7",45,0,12,0,1,1,0,12,0,5,0,30,2009,"URN_45","7_45"
"59","URN","unobs",45,0,42,0,2,1,40,29,0,5,0,30,2009,"URN_45","unobs_45"
"60","RING","2",45,1,13,0,1,2,11,2,0,11,0,31,2009,"RING_45","2_45"
"61","RING","3",45,0,1,1,0,0,1,0,0,11,0,31,2009,"RING_45","3_45"
"62","RING","4",45,0,4,0,0,0,3,1,0,11,0,31,2009,"RING_45","4_45"
"63","RING","5",45,0,11,0,0,1,9,2,0,11,0,31,2009,"RING_45","5_45"
"64","RING","6",45,0,6,0,0,0,4,2,0,11,0,31,2009,"RING_45","6_45"
"65","RING","7",45,0,12,0,0,0,0,12,0,11,0,31,2009,"RING_45","7_45"
"66","RING","unobs",45,0,42,0,1,1,40,29,0,11,0,31,2009,"RING_45","unobs_45"
"67","GAZERBEAM","2",45,1,13,0,1,3,11,2,0,5,0,32,2009,"GAZERBEAM_45","2_45"
