"","fulltag_clean","grp","julian","present","grpsize","mom_in_grp","fem_sibs_in_grp","same_cohort_count","no_ewes","no_rams","no_lambs","focal_animal_age","focal_lamb_status","choice_set","year_in","animal_day","grp_day"
"1","WING","1",88,1,4,0,1,1,4,0,0,4,NA,1,2006,"WING_88","1_88"
"2","WING","2",88,0,14,1,3,1,10,4,0,4,NA,1,2006,"WING_88","2_88"
"3","WING","3",88,0,6,0,0,1,4,2,0,4,NA,1,2006,"WING_88","3_88"
"4","WING","unobs",88,0,46,0,-1,6,21,28,0,4,NA,1,2006,"WING_88","unobs_88"
"5","ISLE","1",88,1,4,0,2,1,4,0,0,3,NA,2,2006,"ISLE_88","1_88"
"6","ISLE","2",88,0,14,0,3,1,10,4,0,3,NA,2,2006,"ISLE_88","2_88"
"7","ISLE","3",88,0,6,1,0,0,4,2,0,3,NA,2,2006,"ISLE_88","3_88"
"8","ISLE","unobs",88,0,46,0,1,4,21,28,0,3,NA,2,2006,"ISLE_88","unobs_88"
"9","CHARM","1",88,1,4,0,1,2,4,0,0,5,NA,3,2006,"CHARM_88","1_88"
"10","CHARM","2",88,0,14,0,0,0,10,4,0,5,NA,3,2006,"CHARM_88","2_88"
"11","CHARM","3",88,0,6,0,0,0,4,2,0,5,NA,3,2006,"CHARM_88","3_88"
"12","CHARM","unobs",88,0,46,1,1,8,21,28,0,5,NA,3,2006,"CHARM_88","unobs_88"
"13","PLUMA","1",88,1,4,0,2,2,4,0,0,5,NA,4,2006,"PLUMA_88","1_88"
"14","PLUMA","2",88,0,14,0,3,0,10,4,0,5,NA,4,2006,"PLUMA_88","2_88"
"15","PLUMA","3",88,0,6,1,0,0,4,2,0,5,NA,4,2006,"PLUMA_88","3_88"
"16","PLUMA","unobs",88,0,46,0,1,8,21,28,0,5,NA,4,2006,"PLUMA_88","unobs_88"
"17","RING","1",88,0,4,0,0,0,4,0,0,8,0,5,2006,"RING_88","1_88"
"18","RING","2",88,1,14,0,1,2,10,4,0,8,0,5,2006,"RING_88","2_88"
"19","RING","3",88,0,6,0,0,2,4,2,0,8,0,5,2006,"RING_88","3_88"
"20","RING","unobs",88,0,46,1,1,0,21,28,0,8,0,5,2006,"RING_88","unobs_88"
"21","REED","1",88,0,4,0,0,0,4,0,0,9,0,6,2006,"REED_88","1_88"
"22","REED","2",88,1,14,0,2,1,10,4,0,9,0,6,2006,"REED_88","2_88"
"23","REED","3",88,0,6,0,1,0,4,2,0,9,0,6,2006,"REED_88","3_88"
"24","REED","unobs",88,0,46,1,0,5,21,28,0,9,0,6,2006,"REED_88","unobs_88"
"25","WAVE","1",88,0,4,0,0,1,4,0,0,3,0,7,2006,"WAVE_88","1_88"
"26","WAVE","2",88,1,14,0,3,1,10,4,0,3,0,7,2006,"WAVE_88","2_88"
"27","WAVE","3",88,0,6,1,0,0,4,2,0,3,0,7,2006,"WAVE_88","3_88"
"28","WAVE","unobs",88,0,46,0,2,4,21,28,0,3,0,7,2006,"WAVE_88","unobs_88"
"29","BLUE","1",88,0,4,0,0,0,4,0,0,2,NA,8,2006,"BLUE_88","1_88"
"30","BLUE","2",88,1,14,1,4,4,10,4,0,2,NA,8,2006,"BLUE_88","2_88"
"31","BLUE","3",88,0,6,0,1,0,4,2,0,2,NA,8,2006,"BLUE_88","3_88"
"32","BLUE","unobs",88,0,46,0,-1,5,21,28,0,2,NA,8,2006,"BLUE_88","unobs_88"
"33","LATERAL","1",88,0,4,0,0,0,4,0,0,2,NA,9,2006,"LATERAL_88","1_88"
"34","LATERAL","2",88,1,14,1,4,4,10,4,0,2,NA,9,2006,"LATERAL_88","2_88"
"35","LATERAL","3",88,0,6,0,0,0,4,2,0,2,NA,9,2006,"LATERAL_88","3_88"
"36","LATERAL","unobs",88,0,46,0,0,5,21,28,0,2,NA,9,2006,"LATERAL_88","unobs_88"
"37","PHOENIX","1",88,0,4,0,0,0,4,0,0,11,NA,10,2006,"PHOENIX_88","1_88"
"38","PHOENIX","2",88,1,14,0,2,1,10,4,0,11,NA,10,2006,"PHOENIX_88","2_88"
"39","PHOENIX","3",88,0,6,0,1,1,4,2,0,11,NA,10,2006,"PHOENIX_88","3_88"
"40","PHOENIX","unobs",88,0,46,1,0,2,21,28,0,11,NA,10,2006,"PHOENIX_88","unobs_88"
"41","KANOB","1",88,0,4,0,0,0,4,0,0,8,NA,11,2006,"KANOB_88","1_88"
"42","KANOB","2",88,1,14,0,1,2,10,4,0,8,NA,11,2006,"KANOB_88","2_88"
"43","KANOB","3",88,0,6,0,0,2,4,2,0,8,NA,11,2006,"KANOB_88","3_88"
"44","KANOB","unobs",88,0,46,1,3,0,21,28,0,8,NA,11,2006,"KANOB_88","unobs_88"
"45","MAGPIE","1",88,0,4,0,0,0,4,0,0,6,0,12,2006,"MAGPIE_88","1_88"
"46","MAGPIE","2",88,1,14,0,3,1,10,4,0,6,0,12,2006,"MAGPIE_88","2_88"
"47","MAGPIE","3",88,0,6,1,0,0,4,2,0,6,0,12,2006,"MAGPIE_88","3_88"
"48","MAGPIE","unobs",88,0,46,0,2,3,21,28,0,6,0,12,2006,"MAGPIE_88","unobs_88"
"49","GAZERBEAM","1",88,0,4,0,0,0,4,0,0,2,NA,13,2006,"GAZERBEAM_88","1_88"
"50","GAZERBEAM","2",88,1,14,0,1,4,10,4,0,2,NA,13,2006,"GAZERBEAM_88","2_88"
"51","GAZERBEAM","3",88,0,6,0,0,0,4,2,0,2,NA,13,2006,"GAZERBEAM_88","3_88"
"52","GAZERBEAM","unobs",88,0,46,1,2,5,21,28,0,2,NA,13,2006,"GAZERBEAM_88","unobs_88"
"53","IO","1",88,0,4,0,0,1,4,0,0,4,0,14,2006,"IO_88","1_88"
"54","IO","2",88,1,14,0,1,1,10,4,0,4,0,14,2006,"IO_88","2_88"
"55","IO","3",88,0,6,0,0,1,4,2,0,4,0,14,2006,"IO_88","3_88"
"56","IO","unobs",88,0,46,1,0,6,21,28,0,4,0,14,2006,"IO_88","unobs_88"
"57","SALT","1",88,0,4,0,0,0,4,0,0,2,NA,15,2006,"SALT_88","1_88"
"58","SALT","2",88,1,14,0,3,4,10,4,0,2,NA,15,2006,"SALT_88","2_88"
"59","SALT","3",88,0,6,1,0,0,4,2,0,2,NA,15,2006,"SALT_88","3_88"
"60","SALT","unobs",88,0,46,0,2,5,21,28,0,2,NA,15,2006,"SALT_88","unobs_88"
"61","SUNUP","1",88,0,4,0,0,0,4,0,0,14,0,19,2006,"SUNUP_88","1_88"
"62","SUNUP","2",88,0,14,0,0,0,10,4,0,14,0,19,2006,"SUNUP_88","2_88"
"63","SUNUP","3",88,1,6,0,1,1,4,2,0,14,0,19,2006,"SUNUP_88","3_88"
"64","SUNUP","unobs",88,0,46,1,4,2,21,28,0,14,0,19,2006,"SUNUP_88","unobs_88"
"65","CATFISH","1",88,0,4,0,0,0,4,0,0,8,0,20,2006,"CATFISH_88","1_88"
"66","CATFISH","2",88,0,14,0,2,2,10,4,0,8,0,20,2006,"CATFISH_88","2_88"
"67","CATFISH","3",88,1,6,0,1,2,4,2,0,8,0,20,2006,"CATFISH_88","3_88"
"68","CATFISH","unobs",88,0,46,1,0,0,21,28,0,8,0,20,2006,"CATFISH_88","unobs_88"
"69","STILT","1",88,0,4,0,0,1,4,0,0,4,0,21,2006,"STILT_88","1_88"
"70","STILT","2",88,0,14,1,4,1,10,4,0,4,0,21,2006,"STILT_88","2_88"
"71","STILT","3",88,1,6,0,1,1,4,2,0,4,0,21,2006,"STILT_88","3_88"
"72","STILT","unobs",88,0,46,0,-1,6,21,28,0,4,0,21,2006,"STILT_88","unobs_88"
"73","PALOUSE","1",88,0,4,0,0,0,4,0,0,11,0,22,2006,"PALOUSE_88","1_88"
"74","PALOUSE","2",88,0,14,0,0,1,10,4,0,11,0,22,2006,"PALOUSE_88","2_88"
