"","fulltag_clean","grp","julian","present","grpsize","mom_in_grp","fem_sibs_in_grp","same_cohort_count","no_ewes","no_rams","no_lambs","focal_animal_age","focal_lamb_status","choice_set","year_in","animal_day","grp_day"
"1","COLUMBO","1",24,1,2,0,1,1,0,2,0,7,NA,1,2017,"COLUMBO_24","1_24"
"2","COLUMBO","2",24,0,1,0,1,0,0,1,0,7,NA,1,2017,"COLUMBO_24","2_24"
"3","COLUMBO","3",24,0,2,0,0,0,2,0,0,7,NA,1,2017,"COLUMBO_24","3_24"
"4","COLUMBO","4",24,0,16,0,2,1,9,0,0,7,NA,1,2017,"COLUMBO_24","4_24"
"5","COLUMBO","5",24,0,3,0,0,0,0,0,0,7,NA,1,2017,"COLUMBO_24","5_24"
"6","COLUMBO","unobs",24,0,37,1,-1,2,12,9,0,7,NA,1,2017,"COLUMBO_24","unobs_24"
"7","GNU","1",24,1,2,0,1,1,0,2,0,5,NA,2,2017,"GNU_24","1_24"
"8","GNU","2",24,0,1,0,0,1,0,1,0,5,NA,2,2017,"GNU_24","2_24"
"9","GNU","3",24,0,2,0,0,0,2,0,0,5,NA,2,2017,"GNU_24","3_24"
"10","GNU","4",24,0,16,0,0,3,9,0,0,5,NA,2,2017,"GNU_24","4_24"
"11","GNU","5",24,0,3,0,0,0,0,0,0,5,NA,2,2017,"GNU_24","5_24"
"12","GNU","unobs",24,0,37,1,0,4,12,9,0,5,NA,2,2017,"GNU_24","unobs_24"
"13","PECCARY","1",24,0,2,0,0,0,0,2,0,10,NA,4,2017,"PECCARY_24","1_24"
"14","PECCARY","2",24,0,1,0,0,0,0,1,0,10,NA,4,2017,"PECCARY_24","2_24"
"15","PECCARY","3",24,1,2,0,1,1,2,0,0,10,NA,4,2017,"PECCARY_24","3_24"
"16","PECCARY","4",24,0,16,0,0,1,9,0,0,10,NA,4,2017,"PECCARY_24","4_24"
"17","PECCARY","5",24,0,3,0,0,0,0,0,0,10,NA,4,2017,"PECCARY_24","5_24"
"18","PECCARY","unobs",24,0,37,1,1,0,12,9,0,10,NA,4,2017,"PECCARY_24","unobs_24"
"19","GEOM","1",24,0,2,0,0,0,0,2,0,4,NA,5,2017,"GEOM_24","1_24"
"20","GEOM","2",24,0,1,0,1,0,0,1,0,4,NA,5,2017,"GEOM_24","2_24"
"21","GEOM","3",24,1,2,0,1,1,2,0,0,4,NA,5,2017,"GEOM_24","3_24"
"22","GEOM","4",24,0,16,0,3,0,9,0,0,4,NA,5,2017,"GEOM_24","4_24"
"23","GEOM","5",24,0,3,0,0,0,0,0,0,4,NA,5,2017,"GEOM_24","5_24"
"24","GEOM","unobs",24,0,37,1,1,1,12,9,0,4,NA,5,2017,"GEOM_24","unobs_24"
"25","GOOSE","1",24,0,2,0,0,0,0,2,0,9,NA,6,2017,"GOOSE_24","1_24"
"26","GOOSE","2",24,0,1,0,1,0,0,1,0,9,NA,6,2017,"GOOSE_24","2_24"
"27","GOOSE","3",24,0,2,0,0,0,2,0,0,9,NA,6,2017,"GOOSE_24","3_24"
"28","GOOSE","4",24,1,16,0,3,1,9,0,0,9,NA,6,2017,"GOOSE_24","4_24"
"29","GOOSE","5",24,0,3,0,0,0,0,0,0,9,NA,6,2017,"GOOSE_24","5_24"
"30","GOOSE","unobs",24,0,37,1,1,2,12,9,0,9,NA,6,2017,"GOOSE_24","unobs_24"
"31","YAYA","1",24,0,2,0,0,1,0,2,0,7,NA,7,2017,"YAYA_24","1_24"
"32","YAYA","2",24,0,1,0,1,0,0,1,0,7,NA,7,2017,"YAYA_24","2_24"
"33","YAYA","3",24,0,2,0,0,0,2,0,0,7,NA,7,2017,"YAYA_24","3_24"
"34","YAYA","4",24,1,16,1,4,1,9,0,0,7,NA,7,2017,"YAYA_24","4_24"
"35","YAYA","5",24,0,3,0,0,0,0,0,0,7,NA,7,2017,"YAYA_24","5_24"
"36","YAYA","unobs",24,0,37,0,0,2,12,9,0,7,NA,7,2017,"YAYA_24","unobs_24"
"37","CHISEL","1",24,0,2,0,0,0,0,2,0,3,0,8,2017,"CHISEL_24","1_24"
"38","CHISEL","2",24,0,1,0,1,0,0,1,0,3,0,8,2017,"CHISEL_24","2_24"
"39","CHISEL","3",24,0,2,0,0,0,2,0,0,3,0,8,2017,"CHISEL_24","3_24"
"40","CHISEL","4",24,1,16,0,3,2,9,0,0,3,0,8,2017,"CHISEL_24","4_24"
"41","CHISEL","5",24,0,3,0,0,0,0,0,0,3,0,8,2017,"CHISEL_24","5_24"
"42","CHISEL","unobs",24,0,37,1,0,1,12,9,0,3,0,8,2017,"CHISEL_24","unobs_24"
"43","ISOSCELES","1",24,0,2,0,0,1,0,2,0,5,0,9,2017,"ISOSCELES_24","1_24"
"44","ISOSCELES","2",24,0,1,0,1,1,0,1,0,5,0,9,2017,"ISOSCELES_24","2_24"
"45","ISOSCELES","3",24,0,2,0,0,0,2,0,0,5,0,9,2017,"ISOSCELES_24","3_24"
"46","ISOSCELES","4",24,1,16,1,3,3,9,0,0,5,0,9,2017,"ISOSCELES_24","4_24"
"47","ISOSCELES","5",24,0,3,0,0,0,0,0,0,5,0,9,2017,"ISOSCELES_24","5_24"
"48","ISOSCELES","unobs",24,0,37,0,0,4,12,9,0,5,0,9,2017,"ISOSCELES_24","unobs_24"
"49","RUG","1",24,0,2,0,0,1,0,2,0,5,NA,10,2017,"RUG_24","1_24"
"50","RUG","2",24,0,1,0,1,1,0,1,0,5,NA,10,2017,"RUG_24","2_24"
"51","RUG","3",24,0,2,0,0,0,2,0,0,5,NA,10,2017,"RUG_24","3_24"
"52","RUG","4",24,1,16,1,4,3,9,0,0,5,NA,10,2017,"RUG_24","4_24"
"53","RUG","5",24,0,3,0,0,0,0,0,0,5,NA,10,2017,"RUG_24","5_24"
"54","RUG","unobs",24,0,37,0,0,4,12,9,0,5,NA,10,2017,"RUG_24","unobs_24"
"55","CLINE","1",24,0,2,0,0,0,0,2,0,3,0,11,2017,"CLINE_24","1_24"
"56","CLINE","2",24,0,1,0,1,0,0,1,0,3,0,11,2017,"CLINE_24","2_24"
"57","CLINE","3",24,0,2,0,0,0,2,0,0,3,0,11,2017,"CLINE_24","3_24"
"58","CLINE","4",24,1,16,0,3,2,9,0,0,3,0,11,2017,"CLINE_24","4_24"
"59","CLINE","5",24,0,3,0,0,0,0,0,0,3,0,11,2017,"CLINE_24","5_24"
"60","CLINE","unobs",24,0,37,1,0,1,12,9,0,3,0,11,2017,"CLINE_24","unobs_24"
"61","BOX","1",24,0,2,0,0,0,0,2,0,8,NA,12,2017,"BOX_24","1_24"
"62","BOX","2",24,0,1,0,1,0,0,1,0,8,NA,12,2017,"BOX_24","2_24"
"63","BOX","3",24,0,2,0,1,0,2,0,0,8,NA,12,2017,"BOX_24","3_24"
"64","BOX","4",24,1,16,0,3,1,9,0,0,8,NA,12,2017,"BOX_24","4_24"
"65","BOX","5",24,0,3,0,0,0,0,0,0,8,NA,12,2017,"BOX_24","5_24"
"66","BOX","unobs",24,0,37,1,1,3,12,9,0,8,NA,12,2017,"BOX_24","unobs_24"
"67","CLAW","1",24,0,2,0,0,0,0,2,0,10,NA,13,2017,"CLAW_24","1_24"
"68","CLAW","2",24,0,1,0,0,0,0,1,0,10,NA,13,2017,"CLAW_24","2_24"
"69","CLAW","3",24,0,2,0,0,1,2,0,0,10,NA,13,2017,"CLAW_24","3_24"
"70","CLAW","4",24,1,16,0,2,1,9,0,0,10,NA,13,2017,"CLAW_24","4_24"
"71","CLAW","5",24,0,3,0,0,0,0,0,0,10,NA,13,2017,"CLAW_24","5_24"
"72","CLAW","unobs",24,0,37,1,0,0,12,9,0,10,NA,13,2017,"CLAW_24","unobs_24"
"73","NIPPER","1",24,0,2,0,0,1,0,2,0,5,NA,14,2017,"NIPPER_24","1_24"
"74","NIPPER","2",24,0,1,0,1,1,0,1,0,5,NA,14,2017,"NIPPER_24","2_24"
"75","NIPPER","3",24,0,2,0,0,0,2,0,0,5,NA,14,2017,"NIPPER_24","3_24"
"76","NIPPER","4",24,1,16,0,3,3,9,0,0,5,NA,14,2017,"NIPPER_24","4_24"
"77","NIPPER","5",24,0,3,0,0,0,0,0,0,5,NA,14,2017,"NIPPER_24","5_24"
"78","NIPPER","unobs",24,0,37,1,-1,4,12,9,0,5,NA,14,2017,"NIPPER_24","unobs_24"
"79","QUILT","1",24,0,2,0,0,0,0,2,0,6,0,16,2017,"QUILT_24","1_24"
"80","QUILT","2",24,0,1,0,0,0,0,1,0,6,0,16,2017,"QUILT_24","2_24"
"81","QUILT","3",24,0,2,0,0,0,2,0,0,6,0,16,2017,"QUILT_24","3_24"
"82","QUILT","4",24,1,16,0,2,0,9,0,0,6,0,16,2017,"QUILT_24","4_24"
"83","QUILT","5",24,0,3,0,0,0,0,0,0,6,0,16,2017,"QUILT_24","5_24"
"84","QUILT","unobs",24,0,37,1,0,3,12,9,0,6,0,16,2017,"QUILT_24","unobs_24"
"85","AYE","1",24,0,2,0,0,0,0,2,0,3,NA,21,2017,"AYE_24","1_24"
"86","AYE","2",24,0,1,0,1,0,0,1,0,3,NA,21,2017,"AYE_24","2_24"
"87","AYE","3",24,0,2,0,0,0,2,0,0,3,NA,21,2017,"AYE_24","3_24"
"88","AYE","4",24,1,16,0,3,2,9,0,0,3,NA,21,2017,"AYE_24","4_24"
"89","AYE","5",24,0,3,0,0,0,0,0,0,3,NA,21,2017,"AYE_24","5_24"
"90","AYE","unobs",24,0,37,1,-1,1,12,9,0,3,NA,21,2017,"AYE_24","unobs_24"
"91","CUKE","1",24,0,2,0,0,0,0,2,0,3,NA,24,2017,"CUKE_24","1_24"
"92","CUKE","2",24,0,1,0,1,0,0,1,0,3,NA,24,2017,"CUKE_24","2_24"
"93","CUKE","3",24,0,2,0,0,0,2,0,0,3,NA,24,2017,"CUKE_24","3_24"
"94","CUKE","4",24,0,16,0,2,2,9,0,0,3,NA,24,2017,"CUKE_24","4_24"
"95","CUKE","5",24,1,3,0,1,0,0,0,0,3,NA,24,2017,"CUKE_24","5_24"
"96","CUKE","unobs",24,0,37,1,-1,1,12,9,0,3,NA,24,2017,"CUKE_24","unobs_24"
"97","YAYA","1",80,0,1,0,1,0,0,0,0,7,NA,27,2017,"YAYA_80","1_80"
"98","YAYA","2",80,1,20,1,3,0,0,0,0,7,NA,27,2017,"YAYA_80","2_80"
"99","YAYA","3",80,0,2,0,1,0,0,0,0,7,NA,27,2017,"YAYA_80","3_80"
"100","YAYA","unobs",80,0,39,0,0,2,14,11,0,7,NA,27,2017,"YAYA_80","unobs_80"
"101","GOOSE","1",80,0,1,0,1,0,0,0,0,9,NA,28,2017,"GOOSE_80","1_80"
"102","GOOSE","2",80,1,20,0,3,0,0,0,0,9,NA,28,2017,"GOOSE_80","2_80"
